Indicators,Year,Age_Group,Gender,Value
"Hospital beds (per 1,000 people)",2010,Total,Total,3.51
"Incidence of HIV, all (per 1,000 uninfected population)",2010,Total,Total,0.1
"Incidence of malaria (per 1,000 population at risk)",2010,Total,Total,0.14
"Incidence of tuberculosis (per 100,000 people)",2010,Total,Total,66
"Life expectancy at birth, female (years)",2010,Total,Female,78.2
"Life expectancy at birth, male (years)",2010,Total,Male,70.862
"Life expectancy at birth, total (years)",2010,Total,Total,74.463
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2010,Reproductive Age,Total,26
"Mortality rate, adult, female (per 1,000 female adults)",2010,Adult,Female,73.798
"Mortality rate, adult, male (per 1,000 male adults)",2010,Adult,Male,181.58
"Mortality rate, infant (per 1,000 live births)",2010,0-1,Total,9.1
"Mortality rate, infant, female (per 1,000 live births)",2010,0-1,Female,8.2
"Mortality rate, infant, male (per 1,000 live births)",2010,0-1,Male,10
Number of maternal deaths,2010,Reproductive Age,Total,93
"Nurses and midwives (per 1,000 people)",2010,Total,Total,1.711
"Physicians (per 1,000 people)",2010,Total,Total,0.71
Population ages 0-14 (% of total population),2010,Total,Total,25.41954057
Population ages 15-64 (% of total population),2010,Total,Total,67.15323164
Population ages 65 and above (% of total population),2010,Total,Total,7.427227788
"Population, female",2010,Total,Female,10710896
"Population, female (% of total population)",2010,Total,Female,51.29963285
"Population, male",2010,Total,Male,10168193
"Population, male (% of total population)",2010,Total,Male,48.70036715
"Population, total",2010,Total,Total,19293054
"Prevalence of HIV, female (% ages 15-24)",2010,15-24,Female,0.1
"Prevalence of HIV, male (% ages 15-24)",2010,15-24,Male,0.1
Sex ratio at birth (male births per female births),2010,Total,Female,1.045
"Suicide mortality rate (per 100,000 population)",2010,Total,Total,17.34
"Suicide mortality rate, female (per 100,000 female population)",2010,Total,Female,7.58
"Suicide mortality rate, male (per 100,000 male population)",2010,Total,Male,27.61
"Survival to age 65, female (% of cohort)",2010,Total,Female,87.481604
"Survival to age 65, male (% of cohort)",2010,Total,Male,72.546589
Age dependency ratio (% of working-age population),2011,Total,Total,49.23949407
"Age dependency ratio, old (% of working-age population)",2011,Total,Total,11.46166499
"Age dependency ratio, young (% of working-age population)",2011,Total,Total,37.77782908
"Birth rate, crude (per 1,000 people)",2011,Total,Total,17.091
Current health expenditure (% of GDP),2011,Total,Total,3.5819521
"Death rate, crude (per 1,000 people)",2011,Total,Total,6.407
"Fertility rate, total (births per woman)",2011,Total,Total,2.144
"Hospital beds (per 1,000 people)",2011,Total,Total,3.54
"Incidence of HIV, all (per 1,000 uninfected population)",2011,Total,Total,0.1
"Incidence of malaria (per 1,000 population at risk)",2011,Total,Total,0.03
"Incidence of tuberculosis (per 100,000 people)",2011,Total,Total,66
"Life expectancy at birth, female (years)",2011,Total,Female,78.342
"Life expectancy at birth, male (years)",2011,Total,Male,71.224
"Life expectancy at birth, total (years)",2011,Total,Total,74.74
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2011,Reproductive Age,Total,25
"Mortality rate, adult, female (per 1,000 female adults)",2011,Adult,Female,72.729
"Mortality rate, adult, male (per 1,000 male adults)",2011,Adult,Male,176.009
"Mortality rate, infant (per 1,000 live births)",2011,0-1,Total,8.9
"Mortality rate, infant, female (per 1,000 live births)",2011,0-1,Female,7.9
"Mortality rate, infant, male (per 1,000 live births)",2011,0-1,Male,9.8
Number of maternal deaths,2011,Reproductive Age,Total,91
"Nurses and midwives (per 1,000 people)",2011,Total,Total,1.783
"Physicians (per 1,000 people)",2011,Total,Total,0.723
Population ages 0-14 (% of total population),2011,Total,Total,25.31356252
Population ages 15-64 (% of total population),2011,Total,Total,67.00638934
Population ages 65 and above (% of total population),2011,Total,Total,7.680048139
"Population, female",2011,Total,Female,10799994
"Population, female (% of total population)",2011,Total,Female,51.40639405
"Population, male",2011,Total,Male,10209054
"Population, male (% of total population)",2011,Total,Male,48.59360595
"Population, total",2011,Total,Total,19293054
"Prevalence of HIV, female (% ages 15-24)",2011,15-24,Female,0.1
"Prevalence of HIV, male (% ages 15-24)",2011,15-24,Male,0.1
Sex ratio at birth (male births per female births),2011,Total,Female,1.044
"Suicide mortality rate (per 100,000 population)",2011,Total,Total,18.15
"Suicide mortality rate, female (per 100,000 female population)",2011,Total,Female,7.76
"Suicide mortality rate, male (per 100,000 male population)",2011,Total,Male,29.15
"Survival to age 65, female (% of cohort)",2011,Total,Female,87.663192
"Survival to age 65, male (% of cohort)",2011,Total,Male,73.202104
Age dependency ratio (% of working-age population),2012,Total,Total,49.58600291
"Age dependency ratio, old (% of working-age population)",2012,Total,Total,11.92261295
"Age dependency ratio, young (% of working-age population)",2012,Total,Total,37.66338996
"Birth rate, crude (per 1,000 people)",2012,Total,Total,17.148
Current health expenditure (% of GDP),2012,Total,Total,3.30659294
"Death rate, crude (per 1,000 people)",2012,Total,Total,6.324
"Fertility rate, total (births per woman)",2012,Total,Total,2.173
"Hospital beds (per 1,000 people)",2012,Total,Total,3.62
"Incidence of HIV, all (per 1,000 uninfected population)",2012,Total,Total,0.1
"Incidence of malaria (per 1,000 population at risk)",2012,Total,Total,0
"Incidence of tuberculosis (per 100,000 people)",2012,Total,Total,66
"Life expectancy at birth, female (years)",2012,Total,Female,78.624
"Life expectancy at birth, male (years)",2012,Total,Male,71.778
"Life expectancy at birth, total (years)",2012,Total,Total,75.187
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2012,Reproductive Age,Total,24
"Mortality rate, adult, female (per 1,000 female adults)",2012,Adult,Female,70.402
"Mortality rate, adult, male (per 1,000 male adults)",2012,Adult,Male,167.921
"Mortality rate, infant (per 1,000 live births)",2012,0-1,Total,8.5
"Mortality rate, infant, female (per 1,000 live births)",2012,0-1,Female,7.6
"Mortality rate, infant, male (per 1,000 live births)",2012,0-1,Male,9.4
Number of maternal deaths,2012,Reproductive Age,Total,88
"Nurses and midwives (per 1,000 people)",2012,Total,Total,1.79
"Physicians (per 1,000 people)",2012,Total,Total,0.747
Population ages 0-14 (% of total population),2012,Total,Total,25.17841978
Population ages 15-64 (% of total population),2012,Total,Total,66.85117541
Population ages 65 and above (% of total population),2012,Total,Total,7.970404816
"Population, female",2012,Total,Female,10894417
"Population, female (% of total population)",2012,Total,Female,51.4628977
"Population, male",2012,Total,Male,10275041
"Population, male (% of total population)",2012,Total,Male,48.5371023
"Population, total",2012,Total,Total,19293054
"Prevalence of HIV, female (% ages 15-24)",2012,15-24,Female,0.1
"Prevalence of HIV, male (% ages 15-24)",2012,15-24,Male,0.1
Sex ratio at birth (male births per female births),2012,Total,Female,1.043
"Suicide mortality rate (per 100,000 population)",2012,Total,Total,17.08
"Suicide mortality rate, female (per 100,000 female population)",2012,Total,Female,7.14
"Suicide mortality rate, male (per 100,000 male population)",2012,Total,Male,27.62
"Survival to age 65, female (% of cohort)",2012,Total,Female,88.037815
"Survival to age 65, male (% of cohort)",2012,Total,Male,74.221511
Age dependency ratio (% of working-age population),2013,Total,Total,49.96845453
"Age dependency ratio, old (% of working-age population)",2013,Total,Total,12.43588548
"Age dependency ratio, young (% of working-age population)",2013,Total,Total,37.53256905
"Birth rate, crude (per 1,000 people)",2013,Total,Total,17.028
Current health expenditure (% of GDP),2013,Total,Total,3.69365358
"Death rate, crude (per 1,000 people)",2013,Total,Total,6.291
"Fertility rate, total (births per woman)",2013,Total,Total,2.178
"Hospital beds (per 1,000 people)",2013,Total,Total,3.7
"Incidence of HIV, all (per 1,000 uninfected population)",2013,Total,Total,0.1
"Incidence of malaria (per 1,000 population at risk)",2013,Total,Total,0
"Incidence of tuberculosis (per 100,000 people)",2013,Total,Total,66
"Life expectancy at birth, female (years)",2013,Total,Female,78.934
"Life expectancy at birth, male (years)",2013,Total,Male,72.164
"Life expectancy at birth, total (years)",2013,Total,Total,75.546
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2013,Reproductive Age,Total,23
"Mortality rate, adult, female (per 1,000 female adults)",2013,Adult,Female,67.996
"Mortality rate, adult, male (per 1,000 male adults)",2013,Adult,Male,162.232
"Mortality rate, infant (per 1,000 live births)",2013,0-1,Total,8.1
"Mortality rate, infant, female (per 1,000 live births)",2013,0-1,Female,7.2
"Mortality rate, infant, male (per 1,000 live births)",2013,0-1,Male,9
Number of maternal deaths,2013,Reproductive Age,Total,85
"Nurses and midwives (per 1,000 people)",2013,Total,Total,1.799
"Physicians (per 1,000 people)",2013,Total,Total,0.781
Population ages 0-14 (% of total population),2013,Total,Total,25.02697597
Population ages 15-64 (% of total population),2013,Total,Total,66.68068897
Population ages 65 and above (% of total population),2013,Total,Total,8.292335061
"Population, female",2013,Total,Female,10596380
"Population, female (% of total population)",2013,Total,Female,51.47621864
"Population, male",2013,Total,Male,9988620
"Population, male (% of total population)",2013,Total,Male,48.52378136
"Population, total",2013,Total,Total,19293054
"Prevalence of HIV, female (% ages 15-24)",2013,15-24,Female,0.1
"Prevalence of HIV, male (% ages 15-24)",2013,15-24,Male,0.1
Sex ratio at birth (male births per female births),2013,Total,Female,1.043
"Suicide mortality rate (per 100,000 population)",2013,Total,Total,16
"Suicide mortality rate, female (per 100,000 female population)",2013,Total,Female,6.68
"Suicide mortality rate, male (per 100,000 male population)",2013,Total,Male,25.9
"Survival to age 65, female (% of cohort)",2013,Total,Female,88.431238
"Survival to age 65, male (% of cohort)",2013,Total,Male,74.927912
Age dependency ratio (% of working-age population),2014,Total,Total,50.39382292
"Age dependency ratio, old (% of working-age population)",2014,Total,Total,12.98752501
"Age dependency ratio, young (% of working-age population)",2014,Total,Total,37.40629791
"Birth rate, crude (per 1,000 people)",2014,Total,Total,16.522
Current health expenditure (% of GDP),2014,Total,Total,3.46786141
"Death rate, crude (per 1,000 people)",2014,Total,Total,6.341
"Fertility rate, total (births per woman)",2014,Total,Total,2.134
"Hospital beds (per 1,000 people)",2014,Total,Total,3.77
"Incidence of HIV, all (per 1,000 uninfected population)",2014,Total,Total,0.1
"Incidence of malaria (per 1,000 population at risk)",2014,Total,Total,0
"Incidence of tuberculosis (per 100,000 people)",2014,Total,Total,65
"Life expectancy at birth, female (years)",2014,Total,Female,79.194
"Life expectancy at birth, male (years)",2014,Total,Male,72.325
"Life expectancy at birth, total (years)",2014,Total,Total,75.757
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2014,Reproductive Age,Total,23
"Mortality rate, adult, female (per 1,000 female adults)",2014,Adult,Female,66.179
"Mortality rate, adult, male (per 1,000 male adults)",2014,Adult,Male,159.64
"Mortality rate, infant (per 1,000 live births)",2014,0-1,Total,7.7
"Mortality rate, infant, female (per 1,000 live births)",2014,0-1,Female,6.8
"Mortality rate, infant, male (per 1,000 live births)",2014,0-1,Male,8.6
Number of maternal deaths,2014,Reproductive Age,Total,81
"Nurses and midwives (per 1,000 people)",2014,Total,Total,1.873
"Physicians (per 1,000 people)",2014,Total,Total,0.819
Population ages 0-14 (% of total population),2014,Total,Total,24.87223086
Population ages 15-64 (% of total population),2014,Total,Total,66.49209308
Population ages 65 and above (% of total population),2014,Total,Total,8.635676063
Population by Age and Gender,2014,0-4,Female,883
Population by Age and Gender,2014,0-4,Male,898
Population by Age and Gender,2014,5-9,Female,884
Population by Age and Gender,2014,5-9,Male,900
Population by Age and Gender,2014,10-14,Female,828
Population by Age and Gender,2014,10-14,Male,846
Population by Age and Gender,2014,15-19,Female,841
Population by Age and Gender,2014,15-19,Male,837
Population by Age and Gender,2014,20-24,Female,807
Population by Age and Gender,2014,20-24,Male,757
Population by Age and Gender,2014,25-29,Female,826
Population by Age and Gender,2014,25-29,Male,759
Population by Age and Gender,2014,30-34,Female,860
Population by Age and Gender,2014,30-34,Male,813
Population by Age and Gender,2014,35-39,Female,738
Population by Age and Gender,2014,35-39,Male,700
Population by Age and Gender,2014,40-44,Female,712
Population by Age and Gender,2014,40-44,Male,675
Population by Age and Gender,2014,45-49,Female,681
Population by Age and Gender,2014,45-49,Male,631
Population by Age and Gender,2014,50-54,Female,651
Population by Age and Gender,2014,50-54,Male,593
Population by Age and Gender,2014,55-59,Female,575
Population by Age and Gender,2014,55-59,Male,511
Population by Age and Gender,2014,60-64,Female,503
Population by Age and Gender,2014,60-64,Male,434
Population by Age and Gender,2014,65-69,Female,356
Population by Age and Gender,2014,65-69,Male,290
Population by Age and Gender,2014,70-74,Female,235
Population by Age and Gender,2014,70-74,Male,186
Population by Age and Gender,2014,75-79,Female,170
Population by Age and Gender,2014,75-79,Male,119
Population by Age and Gender,2014,80+,Female,169
Population by Age and Gender,2014,80+,Male,110
"Population, female",2014,Total,Female,10698581
"Population, female (% of total population)",2014,Total,Female,51.48994387
"Population, male",2014,Total,Male,10079419
"Population, male (% of total population)",2014,Total,Male,48.51005613
"Population, total",2014,Total,Total,19293054
"Prevalence of HIV, female (% ages 15-24)",2014,15-24,Female,0.1
"Prevalence of HIV, male (% ages 15-24)",2014,15-24,Male,0.1
Sex ratio at birth (male births per female births),2014,Total,Female,1.043
"Suicide mortality rate (per 100,000 population)",2014,Total,Total,15.03
"Suicide mortality rate, female (per 100,000 female population)",2014,Total,Female,6.29
"Suicide mortality rate, male (per 100,000 male population)",2014,Total,Male,24.3
"Survival to age 65, female (% of cohort)",2014,Total,Female,88.762226
"Survival to age 65, male (% of cohort)",2014,Total,Male,75.242073
Age dependency ratio (% of working-age population),2015,Total,Total,50.79186587
"Age dependency ratio, old (% of working-age population)",2015,Total,Total,13.55700914
"Age dependency ratio, young (% of working-age population)",2015,Total,Total,37.23485672
"Birth rate, crude (per 1,000 people)",2015,Total,Total,16.022
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2015,Reproductive Age,Total,9.220567596
"Cause of death, by non-communicable diseases (% of total)",2015,Total,Total,82.67311054
Current health expenditure (% of GDP),2015,Total,Total,3.6826396
"Death rate, crude (per 1,000 people)",2015,Total,Total,6.398
"Fertility rate, total (births per woman)",2015,Total,Total,2.09
"Hospital beds (per 1,000 people)",2015,Total,Total,3.78
"Incidence of HIV, all (per 1,000 uninfected population)",2015,Total,Total,0.1
"Incidence of malaria (per 1,000 population at risk)",2015,Total,Total,0
"Incidence of tuberculosis (per 100,000 people)",2015,Total,Total,65
"Life expectancy at birth, female (years)",2015,Total,Female,79.395
"Life expectancy at birth, male (years)",2015,Total,Male,72.572
"Life expectancy at birth, total (years)",2015,Total,Total,75.99
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2015,Reproductive Age,Total,22
"Mortality rate, adult, female (per 1,000 female adults)",2015,Adult,Female,64.47
"Mortality rate, adult, male (per 1,000 male adults)",2015,Adult,Male,155.948
"Mortality rate, infant (per 1,000 live births)",2015,0-1,Total,7.4
"Mortality rate, infant, female (per 1,000 live births)",2015,0-1,Female,6.5
"Mortality rate, infant, male (per 1,000 live births)",2015,0-1,Male,8.2
Number of maternal deaths,2015,Reproductive Age,Total,76
"Nurses and midwives (per 1,000 people)",2015,Total,Total,1.921
"Physicians (per 1,000 people)",2015,Total,Total,0.845
Population ages 0-14 (% of total population),2015,Total,Total,24.69288098
Population ages 15-64 (% of total population),2015,Total,Total,66.3165734
Population ages 65 and above (% of total population),2015,Total,Total,8.990545616
Population by Age and Gender,2015,0-4,Female,891
Population by Age and Gender,2015,0-4,Male,907
Population by Age and Gender,2015,5-9,Female,892
Population by Age and Gender,2015,5-9,Male,909
Population by Age and Gender,2015,10-14,Female,836
Population by Age and Gender,2015,10-14,Male,854
Population by Age and Gender,2015,15-19,Female,849
Population by Age and Gender,2015,15-19,Male,845
Population by Age and Gender,2015,20-24,Female,814
Population by Age and Gender,2015,20-24,Male,764
Population by Age and Gender,2015,25-29,Female,834
Population by Age and Gender,2015,25-29,Male,766
Population by Age and Gender,2015,30-34,Female,868
Population by Age and Gender,2015,30-34,Male,821
Population by Age and Gender,2015,35-39,Female,745
Population by Age and Gender,2015,35-39,Male,706
Population by Age and Gender,2015,40-44,Female,719
Population by Age and Gender,2015,40-44,Male,681
Population by Age and Gender,2015,45-49,Female,687
Population by Age and Gender,2015,45-49,Male,637
Population by Age and Gender,2015,50-54,Female,657
Population by Age and Gender,2015,50-54,Male,599
Population by Age and Gender,2015,55-59,Female,580
Population by Age and Gender,2015,55-59,Male,516
Population by Age and Gender,2015,60-64,Female,507
Population by Age and Gender,2015,60-64,Male,438
Population by Age and Gender,2015,65-69,Female,360
Population by Age and Gender,2015,65-69,Male,292
Population by Age and Gender,2015,70-74,Female,237
Population by Age and Gender,2015,70-74,Male,187
Population by Age and Gender,2015,75-79,Female,171
Population by Age and Gender,2015,75-79,Male,120
Population by Age and Gender,2015,80+,Female,170
Population by Age and Gender,2015,80+,Male,111
"Population, female",2015,Total,Female,10800570
"Population, female (% of total population)",2015,Total,Female,51.50486395
"Population, male",2015,Total,Male,10169430
"Population, male (% of total population)",2015,Total,Male,48.49513605
"Population, total",2015,Total,Total,19293054
"Prevalence of HIV, female (% ages 15-24)",2015,15-24,Female,0.1
"Prevalence of HIV, male (% ages 15-24)",2015,15-24,Male,0.1
Sex ratio at birth (male births per female births),2015,Total,Female,1.043
"Suicide mortality rate (per 100,000 population)",2015,Total,Total,14.8
"Suicide mortality rate, female (per 100,000 female population)",2015,Total,Female,6.14
"Suicide mortality rate, male (per 100,000 male population)",2015,Total,Male,23.98
"Survival to age 65, female (% of cohort)",2015,Total,Female,89.036095
"Survival to age 65, male (% of cohort)",2015,Total,Male,75.742566
Age dependency ratio (% of working-age population),2016,Total,Total,51.1118502
"Age dependency ratio, old (% of working-age population)",2016,Total,Total,14.12217153
"Age dependency ratio, young (% of working-age population)",2016,Total,Total,36.98967867
"Birth rate, crude (per 1,000 people)",2016,Total,Total,15.651
Current health expenditure (% of GDP),2016,Total,Total,3.61788416
"Death rate, crude (per 1,000 people)",2016,Total,Total,6.493
"Fertility rate, total (births per woman)",2016,Total,Total,2.062
"Hospital beds (per 1,000 people)",2016,Total,Total,3.81
"Incidence of HIV, all (per 1,000 uninfected population)",2016,Total,Total,0.1
"Incidence of malaria (per 1,000 population at risk)",2016,Total,Total,0
"Incidence of tuberculosis (per 100,000 people)",2016,Total,Total,65
"Life expectancy at birth, female (years)",2016,Total,Female,79.507
"Life expectancy at birth, male (years)",2016,Total,Male,72.738
"Life expectancy at birth, total (years)",2016,Total,Total,76.136
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2016,Reproductive Age,Total,22
"Mortality rate, adult, female (per 1,000 female adults)",2016,Adult,Female,63.475
"Mortality rate, adult, male (per 1,000 male adults)",2016,Adult,Male,153.107
"Mortality rate, infant (per 1,000 live births)",2016,0-1,Total,7
"Mortality rate, infant, female (per 1,000 live births)",2016,0-1,Female,6.2
"Mortality rate, infant, male (per 1,000 live births)",2016,0-1,Male,7.8
Number of maternal deaths,2016,Reproductive Age,Total,74
"Nurses and midwives (per 1,000 people)",2016,Total,Total,1.911
"Physicians (per 1,000 people)",2016,Total,Total,0.876
Population ages 0-14 (% of total population),2016,Total,Total,24.47834279
Population ages 15-64 (% of total population),2016,Total,Total,66.1761492
Population ages 65 and above (% of total population),2016,Total,Total,9.345508014
Population by Age and Gender,2016,0-4,Female,901
Population by Age and Gender,2016,0-4,Male,917
Population by Age and Gender,2016,5-9,Female,902
Population by Age and Gender,2016,5-9,Male,920
Population by Age and Gender,2016,10-14,Female,845
Population by Age and Gender,2016,10-14,Male,864
Population by Age and Gender,2016,15-19,Female,859
Population by Age and Gender,2016,15-19,Male,854
Population by Age and Gender,2016,20-24,Female,824
Population by Age and Gender,2016,20-24,Male,773
Population by Age and Gender,2016,25-29,Female,843
Population by Age and Gender,2016,25-29,Male,774
Population by Age and Gender,2016,30-34,Female,878
Population by Age and Gender,2016,30-34,Male,830
Population by Age and Gender,2016,35-39,Female,753
Population by Age and Gender,2016,35-39,Male,715
Population by Age and Gender,2016,40-44,Female,727
Population by Age and Gender,2016,40-44,Male,689
Population by Age and Gender,2016,45-49,Female,695
Population by Age and Gender,2016,45-49,Male,644
Population by Age and Gender,2016,50-54,Female,665
Population by Age and Gender,2016,50-54,Male,605
Population by Age and Gender,2016,55-59,Female,587
Population by Age and Gender,2016,55-59,Male,522
Population by Age and Gender,2016,60-64,Female,513
Population by Age and Gender,2016,60-64,Male,443
Population by Age and Gender,2016,65-69,Female,364
Population by Age and Gender,2016,65-69,Male,295
Population by Age and Gender,2016,70-74,Female,240
Population by Age and Gender,2016,70-74,Male,189
Population by Age and Gender,2016,75-79,Female,173
Population by Age and Gender,2016,75-79,Male,121
Population by Age and Gender,2016,80+,Female,172
Population by Age and Gender,2016,80+,Male,113
"Population, female",2016,Total,Female,10926762
"Population, female (% of total population)",2016,Total,Female,51.5194581
"Population, male",2016,Total,Male,10282238
"Population, male (% of total population)",2016,Total,Male,48.4805419
"Population, total",2016,Total,Total,19293054
"Prevalence of HIV, female (% ages 15-24)",2016,15-24,Female,0.1
"Prevalence of HIV, male (% ages 15-24)",2016,15-24,Male,0.1
Sex ratio at birth (male births per female births),2016,Total,Female,1.043
"Suicide mortality rate (per 100,000 population)",2016,Total,Total,15.1
"Suicide mortality rate, female (per 100,000 female population)",2016,Total,Female,6.3
"Suicide mortality rate, male (per 100,000 male population)",2016,Total,Male,24.46
"Survival to age 65, female (% of cohort)",2016,Total,Female,89.185338
"Survival to age 65, male (% of cohort)",2016,Total,Male,76.106561
Age dependency ratio (% of working-age population),2017,Total,Total,51.33805762
"Age dependency ratio, old (% of working-age population)",2017,Total,Total,14.67023356
"Age dependency ratio, young (% of working-age population)",2017,Total,Total,36.66782406
"Birth rate, crude (per 1,000 people)",2017,Total,Total,15.371
Current health expenditure (% of GDP),2017,Total,Total,3.33093429
"Death rate, crude (per 1,000 people)",2017,Total,Total,6.608
"Fertility rate, total (births per woman)",2017,Total,Total,2.044
"Hospital beds (per 1,000 people)",2017,Total,Total,3.87
"Incidence of HIV, all (per 1,000 uninfected population)",2017,Total,Total,0.1
"Incidence of malaria (per 1,000 population at risk)",2017,Total,Total,0
"Incidence of tuberculosis (per 100,000 people)",2017,Total,Total,64
"Life expectancy at birth, female (years)",2017,Total,Female,79.592
"Life expectancy at birth, male (years)",2017,Total,Male,72.847
"Life expectancy at birth, total (years)",2017,Total,Total,76.239
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2017,Reproductive Age,Total,21
"Mortality rate, adult, female (per 1,000 female adults)",2017,Adult,Female,62.897
"Mortality rate, adult, male (per 1,000 male adults)",2017,Adult,Male,151.018
"Mortality rate, infant (per 1,000 live births)",2017,0-1,Total,6.7
"Mortality rate, infant, female (per 1,000 live births)",2017,0-1,Female,5.9
"Mortality rate, infant, male (per 1,000 live births)",2017,0-1,Male,7.5
Number of maternal deaths,2017,Reproductive Age,Total,73
"Nurses and midwives (per 1,000 people)",2017,Total,Total,1.962
"Physicians (per 1,000 people)",2017,Total,Total,0.911
Population ages 0-14 (% of total population),2017,Total,Total,24.22908283
Population ages 15-64 (% of total population),2017,Total,Total,66.0772313
Population ages 65 and above (% of total population),2017,Total,Total,9.693685874
Population by Age and Gender,2017,0-4,Female,913
Population by Age and Gender,2017,0-4,Male,928
Population by Age and Gender,2017,5-9,Female,913
Population by Age and Gender,2017,5-9,Male,930
Population by Age and Gender,2017,10-14,Female,855
Population by Age and Gender,2017,10-14,Male,874
Population by Age and Gender,2017,15-19,Female,869
Population by Age and Gender,2017,15-19,Male,864
Population by Age and Gender,2017,20-24,Female,833
Population by Age and Gender,2017,20-24,Male,782
Population by Age and Gender,2017,25-29,Female,853
Population by Age and Gender,2017,25-29,Male,783
Population by Age and Gender,2017,30-34,Female,888
Population by Age and Gender,2017,30-34,Male,840
Population by Age and Gender,2017,35-39,Female,762
Population by Age and Gender,2017,35-39,Male,723
Population by Age and Gender,2017,40-44,Female,735
Population by Age and Gender,2017,40-44,Male,697
Population by Age and Gender,2017,45-49,Female,703
Population by Age and Gender,2017,45-49,Male,651
Population by Age and Gender,2017,50-54,Female,672
Population by Age and Gender,2017,50-54,Male,612
Population by Age and Gender,2017,55-59,Female,593
Population by Age and Gender,2017,55-59,Male,528
Population by Age and Gender,2017,60-64,Female,518
Population by Age and Gender,2017,60-64,Male,448
Population by Age and Gender,2017,65-69,Female,368
Population by Age and Gender,2017,65-69,Male,299
Population by Age and Gender,2017,70-74,Female,243
Population by Age and Gender,2017,70-74,Male,191
Population by Age and Gender,2017,75-79,Female,175
Population by Age and Gender,2017,75-79,Male,122
Population by Age and Gender,2017,80+,Female,174
Population by Age and Gender,2017,80+,Male,114
"Population, female",2017,Total,Female,11055587
"Population, female (% of total population)",2017,Total,Female,51.53399281
"Population, male",2017,Total,Male,10397413
"Population, male (% of total population)",2017,Total,Male,48.46600719
"Population, total",2017,Total,Total,19293054
"Prevalence of HIV, female (% ages 15-24)",2017,15-24,Female,0.1
"Prevalence of HIV, male (% ages 15-24)",2017,15-24,Male,0.1
Sex ratio at birth (male births per female births),2017,Total,Female,1.043
"Suicide mortality rate (per 100,000 population)",2017,Total,Total,15.2
"Suicide mortality rate, female (per 100,000 female population)",2017,Total,Female,6.28
"Suicide mortality rate, male (per 100,000 male population)",2017,Total,Male,24.68
